City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,crane,31.3974,-102.3501,22.42,28,36,4.89,US,1730693995
278,la rioja,42.25,-2.5,9.88,91,72,2.48,ES,1730693997
279,vila velha,-20.3297,-40.2925,22.19,96,40,1.54,BR,1730693610
280,kalmunai,7.4167,81.8167,28.26,71,87,1.92,LK,1730693999
281,lalibela,12.0333,39.0333,12.38,53,14,2.67,ET,1730694000
282,qaqortoq,60.7167,-46.0333,-1.66,81,3,8.79,GL,1730693525
283,isabela,6.7085,121.9711,31.03,73,100,1.74,PH,1730694002
284,kangding,30.0513,101.9603,9.11,90,100,1.94,CN,1730694004
285,ayorou,14.7308,0.9174,24.62,22,2,4.36,NE,1730694005
286,barra de santo antonio,-9.4047,-35.5072,24.57,68,17,4.84,BR,1730694006
287,yuanping,38.7153,112.7575,6.87,21,24,1.75,CN,1730693779
288,libreville,0.3925,9.4537,24.65,92,100,2.56,GA,1730694013
289,mogocha,53.7333,119.7667,-5.78,57,100,1.97,RU,1730694014
290,dinghaicun,26.2847,119.7936,22.43,71,99,4.87,CN,1730694015
291,arkhangel'sk,64.5401,40.5433,-1.94,93,75,5.0,RU,1730694016
292,pakala,13.4667,79.1167,25.78,74,41,2.01,IN,1730694018
293,siwa oasis,29.2041,25.5195,17.89,78,0,3.13,EG,1730694019
294,lakhdenpokh'ya,61.5198,30.1992,0.02,74,8,5.35,RU,1730694020
295,minot,48.2325,-101.2963,8.12,93,100,6.69,US,1730693793
296,hazorasp,41.3194,61.0742,15.07,46,70,6.12,UZ,1730694022
297,polyarnyy,69.1989,33.4478,2.21,69,100,10.53,RU,1730693582
298,challapata,-18.9,-66.7667,11.27,60,4,2.62,BO,1730694025
299,tadine,-21.55,167.8833,24.99,59,74,5.55,NC,1730694026
300,sayat,38.7839,63.8803,20.98,36,100,2.08,TM,1730694027
301,sinabang,2.4803,96.3801,29.18,68,99,1.14,ID,1730693474
302,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.54,GF,1730693553
303,okha,53.5739,142.9478,-1.18,58,48,6.01,RU,1730694031
304,tabas,33.5959,56.9244,23.8,27,40,1.88,IR,1730694032
305,carauari,-4.8828,-66.8958,21.95,99,100,1.73,BR,1730694033
306,utrik,11.2278,169.8474,26.34,84,100,4.43,MH,1730693456
307,kandahar,31.0,65.75,23.02,20,0,0.47,AF,1730694035
308,mahibadhoo,3.7833,72.9667,27.05,80,100,5.22,MV,1730694036
309,manokwari,-0.8667,134.0833,28.06,75,59,2.14,ID,1730694038
310,dongsheng,39.8161,109.9776,2.62,38,98,3.6,CN,1730694039
311,kievka,50.2619,71.5514,9.48,60,98,7.52,KZ,1730694040
312,otsuki,35.6,138.9333,19.91,56,1,2.21,JP,1730694041
313,alesund,62.4723,6.1549,12.09,93,75,5.66,NO,1730694042
314,paita,-5.0892,-81.1144,17.89,86,100,5.01,PE,1730693841
315,forster,-32.1667,152.5167,24.1,86,89,7.48,AU,1730694045
316,pahrump,36.2083,-115.9839,13.62,24,0,3.13,US,1730693807
317,quiberon,47.4841,-3.1196,10.06,87,87,6.14,FR,1730694047
318,moya,28.0906,-15.5883,15.93,87,100,0.45,ES,1730694048
319,hermanus,-34.4187,19.2345,11.56,68,89,7.89,ZA,1730694049
320,tchintabaraden,15.8969,5.7985,22.56,21,4,4.55,NE,1730694051
321,albertina,-22.2008,-46.6158,17.42,95,100,2.97,BR,1730694052
322,akcakale,36.7111,38.9475,13.5,82,20,1.26,TR,1730694053
323,borogontsy,62.6683,131.1683,-17.9,88,99,0.84,RU,1730694054
324,watsa,3.0372,29.5355,16.97,98,99,0.73,CD,1730694058
325,callao,-12.0667,-77.15,19.84,82,100,6.69,PE,1730693923
326,trujillo,-8.116,-79.03,16.98,88,89,4.12,PE,1730693721
327,plettenberg bay,-34.0527,23.3716,13.05,83,100,6.15,ZA,1730694062
328,fisterra,42.9049,-9.2629,16.63,75,85,4.05,ES,1730694063
329,hasaki,35.7333,140.8333,22.27,57,9,7.8,JP,1730694065
330,ulety,51.3572,112.4849,-0.81,29,30,5.4,RU,1730694066
331,baise city,23.8997,106.6133,25.75,99,79,0.89,CN,1730694067
332,frutal,-20.0247,-48.9406,21.46,89,86,3.09,BR,1730694068
333,xilin hot,43.9667,116.0333,-0.26,30,5,5.6,CN,1730694030
334,olonkinbyen,70.9221,-8.7187,0.44,98,100,6.99,SJ,1730694071
335,baukau,51.5526,7.2042,6.2,94,15,1.57,DE,1730694072
336,touba,8.2833,-7.6833,21.27,82,17,0.72,CI,1730694073
337,guapi,2.5708,-77.8854,23.8,90,100,1.74,CO,1730694074
338,zabaykal'sk,49.6333,117.3167,-1.73,32,84,7.65,RU,1730694077
339,kingston,17.997,-76.7936,23.08,94,17,1.97,JM,1730693901
340,waimea,20.0231,-155.6717,19.14,94,97,1.34,US,1730694079
341,nizhnesortymskiy,62.4397,71.7603,-3.12,88,100,14.47,RU,1730694081
342,sao joao da barra,-21.6403,-41.0511,23.43,87,100,5.97,BR,1730694082
343,namie,37.4833,141.0,22.77,57,1,5.6,JP,1730694083
344,matiari,25.5961,68.4467,30.51,42,0,3.52,PK,1730694084
345,kalabo,-14.97,22.6814,19.41,83,62,1.6,ZM,1730694086
346,kailua-kona,19.6406,-155.9956,25.86,92,98,0.86,US,1730693422
347,mazamitla,19.9167,-103.0333,11.73,97,36,0.84,MX,1730694088
348,williams lake,52.1415,-122.1445,2.76,98,75,3.09,CA,1730694089
349,tsiombe,-25.3,45.4833,25.12,73,18,7.17,MG,1730694090
350,usinsk,65.9939,57.5281,-0.99,97,100,8.86,RU,1730693663
351,qarah,34.1527,36.7415,9.32,82,39,0.82,SY,1730693977
352,sandnessjoen,66.0217,12.6316,6.81,67,100,4.07,NO,1730694096
353,dwarka,22.2394,68.9678,28.93,55,0,2.87,IN,1730694097
354,ixtapa,20.7,-105.2,25.57,69,0,0.0,MX,1730694098
355,parabel',58.6978,81.4825,3.43,92,100,3.45,RU,1730694100
356,mareeba,-17.0,145.4333,31.8,41,47,4.64,AU,1730694101
357,kathu,7.9178,98.3332,30.9,82,100,1.05,TH,1730694102
358,shchyolkino,45.4291,35.8223,6.5,57,32,7.6,UA,1730694103
359,guayaramerin,-10.8368,-65.3614,24.02,81,64,1.05,BO,1730694104
360,camocim,-2.9022,-40.8411,25.06,79,18,7.51,BR,1730694106
361,kruisfontein,-34.0033,24.7314,12.78,87,100,8.43,ZA,1730693752
362,loango,-4.6719,11.8312,24.81,100,75,0.51,CG,1730694108
